source_id,document,url,resolves,http_status,final_url,content_type,bytes,sha256,sha_manifest,sha_matches_manifest,wayback_url,retrieved,checked,notes
deepmind-gemini-3-pro-fsf-report-nov-2025,DeepMind Gemini 3 Pro FSF Report (Nov 2025),https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,Y,200,https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,application/pdf,1529384,0b093ee5fc80e30fa5b46e6aa9a853c6dd3f308656e9c9a346724e108e620e46,0b093ee5fc80e30fa5b46e6aa9a853c6dd3f308656e9c9a346724e108e620e46,Y,http://web.archive.org/web/20260706232726/https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,2026-07-10,2026-07-21,cached deepmind-gemini-3-pro-fsf-report-nov-2025.pdf
deepmind-gemini-3-pro-model-card-nov-2025,DeepMind Gemini 3 Pro Model Card (Nov 2025),https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,Y,200,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,application/pdf,834704,9a1734bc3aa310691772d1756990b01383dc7732d4f9cb0a2888e2e06a7f84d8,9a1734bc3aa310691772d1756990b01383dc7732d4f9cb0a2888e2e06a7f84d8,Y,,2026-07-10,2026-07-21,cached deepmind-gemini-3-pro-model-card-nov-2025.pdf
deepmind-gemini-3-1-pro-model-card-feb-2026,DeepMind Gemini 3.1 Pro Model Card (Feb 2026),https://deepmind.google/models/model-cards/gemini-3-1-pro/,Y,200,https://deepmind.google/models/model-cards/gemini-3-1-pro/,text/html,156216,85a15b7e91fffed9fc3886cdb5d4de0f9796772a72a492607c724af809334691,,,http://web.archive.org/web/20260716222932/https://deepmind.google/models/model-cards/gemini-3-1-pro/,2026-07-10,2026-07-21,cached deepmind-gemini-3-1-pro-model-card-feb-2026.html
rand-cyber-uplift-rct-human-uplift-study-2026,RAND cyber-uplift RCT — human uplift study (2026),https://www.rand.org/pubs/research_reports/RRA3892-1.html,Y,200,https://www.rand.org/pubs/research_reports/RRA3892-1.html,text/html; charset=UTF-8,42252,b06188b06b6ab6542e214b01a9db25ce1a15716865e2bee0f5ff4757e544ce3a,,,http://web.archive.org/web/20260626032730/https://www.rand.org/pubs/research_reports/RRA3892-1.html,2026-07-10,2026-07-21,cached rand-cyber-uplift-rct-human-uplift-study-2026.html
openai-gpt-4o-system-card-arxiv-2410-21276,OpenAI GPT-4o System Card (arXiv:2410.21276),https://arxiv.org/pdf/2410.21276,Y,200,https://arxiv.org/pdf/2410.21276,application/pdf,1440160,1d7dbfdec9e1f04402165657ae40012da73dbda4e7581f7489738a4df22deb68,,,http://web.archive.org/web/20260605005103/https://arxiv.org/pdf/2410.21276,2026-07-10,2026-07-21,cached openai-gpt-4o-system-card-arxiv-2410-21276.pdf
openai-o1-system-card-dec-2024,OpenAI o1 System Card (Dec 2024),https://cdn.openai.com/o1-system-card-20241205.pdf,Y,200,https://cdn.openai.com/o1-system-card-20241205.pdf,application/pdf,4720304,3ba7bdbe69e022f6be0527edbfe18ac1becdea48d5be9891ab764ff336c8a033,,,http://web.archive.org/web/20260629135625/https://cdn.openai.com/o1-system-card-20241205.pdf,2026-07-10,2026-07-21,cached openai-o1-system-card-dec-2024.pdf
openai-o3-o4-mini-system-card-apr-2025,OpenAI o3 & o4-mini System Card (Apr 2025),https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,Y,200,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,application/pdf,6747125,32d7ca19fff2ed0dc2d06f84e3143900bbd7898bb6f443c094477fb4ce0fc4ab,,,http://web.archive.org/web/20260717140501/https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,2026-07-10,2026-07-21,cached openai-o3-o4-mini-system-card-apr-2025.pdf
phuong-et-al-2024-evaluating-frontier-models-for-dangerous-c,"Phuong et al. 2024, Evaluating Frontier Models for Dangerous Capabilities (arXiv:2403.13793)",https://arxiv.org/pdf/2403.13793,Y,200,https://arxiv.org/pdf/2403.13793,application/pdf,1720586,89225ba18d3823a3b766d00833bf77c4540749b4279a2628c1f78e15aadb560e,89225ba18d3823a3b766d00833bf77c4540749b4279a2628c1f78e15aadb560e,Y,http://web.archive.org/web/20260711121356/https://arxiv.org/pdf/2403.13793,2026-07-10,2026-07-21,cached phuong-et-al-2024-evaluating-frontier-models-for-dangerous-c.pdf
google-deepmind-gemini-2-5-report-arxiv-2507-06261,Google DeepMind Gemini 2.5 report (arXiv:2507.06261),https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,Y,200,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,application/pdf,10130715,d10cf3e99841b6411901de4a1fb8538a3cd9aab3cc84880941811d8dd7e86a1a,d10cf3e99841b6411901de4a1fb8538a3cd9aab3cc84880941811d8dd7e86a1a,Y,http://web.archive.org/web/20260708222214/https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,2026-07-10,2026-07-21,cached google-deepmind-gemini-2-5-report-arxiv-2507-06261.pdf
arc-evals-kinniment-et-al-2023-arxiv-2312-11671,ARC Evals — Kinniment et al. 2023 (arXiv:2312.11671),https://arxiv.org/pdf/2312.11671,Y,200,https://arxiv.org/pdf/2312.11671,application/pdf,4313837,b05c74b1f633e88337489fcf23122bbf6d4c032ebc58d03161c741d2d4149be9,,,http://web.archive.org/web/20260616171232/https://arxiv.org/pdf/2312.11671,2026-07-10,2026-07-21,cached arc-evals-kinniment-et-al-2023-arxiv-2312-11671.pdf
metr-openai-o1-preview-evaluation,METR — OpenAI o1-preview evaluation,https://metr.org/evaluations/openai-o1-preview-report/,Y,200,https://metr.org/evaluations/openai-o1-preview-report/,text/html; charset=UTF-8,76621,7813105bad37c31f3063ef3ee57963ad1d7e0507e1eb15ed940b5ae07ac99785,,,http://web.archive.org/web/20260617191855/https://metr.org/evaluations/openai-o1-preview-report/,2026-07-10,2026-07-21,cached metr-openai-o1-preview-evaluation.html
metr-claude-3-7-sonnet-evaluation,METR — Claude 3.7 Sonnet evaluation,https://metr.org/evaluations/claude-3-7-report/,Y,200,https://metr.org/evaluations/claude-3-7-report/,text/html; charset=UTF-8,75373,0f8c46cb6738919f7091bec0a7cf40fa7f65e9bdf444391cc9f775d22159b95c,,,,2026-07-10,2026-07-21,cached metr-claude-3-7-sonnet-evaluation.html
metr-hcast-arxiv-2503-17354,METR — HCAST (arXiv:2503.17354),https://arxiv.org/pdf/2503.17354,Y,200,https://arxiv.org/pdf/2503.17354,application/pdf,1442718,a0db39c1ee307d08c4349057c7d165ad8be0d637fdf23e2f47a14558aaf824b5,,,http://web.archive.org/web/20260602223009/https://arxiv.org/pdf/2503.17354,2026-07-10,2026-07-21,cached metr-hcast-arxiv-2503-17354.pdf
uk-aisi-advanced-ai-evaluations-may-update-2024,"UK AISI — Advanced AI evaluations, May update (2024)",https://www.aisi.gov.uk/blog/advanced-ai-evaluations-may-update,Y,200,https://www.aisi.gov.uk/blog/advanced-ai-evaluations-may-update,text/html; charset=utf-8,50290,e1635c8fe476ce6fde49771191cadc21a30bdc97ba500008c91c2491ce456be4,,,http://web.archive.org/web/20260703124405/https://www.aisi.gov.uk/blog/advanced-ai-evaluations-may-update,2026-07-10,2026-07-21,cached uk-aisi-advanced-ai-evaluations-may-update-2024.html
apollo-research-in-context-scheming-arxiv-2412-04984,Apollo Research — in-context scheming (arXiv:2412.04984),https://arxiv.org/pdf/2412.04984,Y,200,https://arxiv.org/pdf/2412.04984,application/pdf,1569497,a8a170a6a268e94c692c2cd28f902001d1ea22441f00f7c63a7f4ee8775f23c6,,,http://web.archive.org/web/20260710043859/https://arxiv.org/pdf/2412.04984,2026-07-10,2026-07-21,cached apollo-research-in-context-scheming-arxiv-2412-04984.pdf
epoch-ai-biorisk-evaluations-ho-berg-jun-2025,"Epoch AI — biorisk evaluations (Ho & Berg, Jun 2025)",https://epoch.ai/gradient-updates/do-the-biorisk-evaluations-of-ai-labs-actually-measure-the-risk-of-developing-bioweapons,Y,200,https://epoch.ai/gradient-updates/do-the-biorisk-evaluations-of-ai-labs-actually-measure-the-risk-of-developing-bioweapons,text/html,163346,9212f3dbc052b25ad2ac2bd9ac52c8bc31c9a172a1b7377dc4f449aa952b4932,,,http://web.archive.org/web/20260616171340/https://epoch.ai/gradient-updates/do-the-biorisk-evaluations-of-ai-labs-actually-measure-the-risk-of-developing-bioweapons,2026-07-03,2026-07-21,cached epoch-ai-biorisk-evaluations-ho-berg-jun-2025.html
